Zone,Date,Flags
victoria-pink,2011-10-26,g
victoria-pink,2011-11-02,g
victoria-pink,2011-11-09,g
victoria-pink,2011-11-17,g
victoria-pink,2011-11-24,g
victoria-pink,2011-12-01,g
victoria-pink,2011-12-08,gf
victoria-pink,2011-12-15,g
victoria-pink,2011-12-22,g
victoria-yellow,2011-01-07,g
victoria-yellow,2011-01-14,g
victoria-yellow,2011-01-21,g
victoria-yellow,2011-01-28,g
victoria-yellow,2011-02-04,g
victoria-yellow,2011-02-11,g
victoria-yellow,2011-02-18,g
victoria-yellow,2011-02-25,g
victoria-yellow,2011-03-04,g
victoria-yellow,2011-03-11,g
victoria-yellow,2011-03-18,g
victoria-yellow,2011-03-25,g
victoria-yellow,2011-04-01,g
victoria-yellow,2011-04-08,g
victoria-yellow,2011-04-15,g
victoria-yellow,2011-04-26,2g
victoria-yellow,2011-05-03,g
victoria-yellow,2011-05-10,g
victoria-yellow,2011-05-17,g
victoria-yellow,2011-05-25,g
victoria-yellow,2011-06-01,g
victoria-yellow,2011-06-08,g
victoria-yellow,2011-06-15,g
victoria-yellow,2011-06-22,g
victoria-yellow,2011-06-29,g
victoria-yellow,2011-07-07,g
victoria-yellow,2011-07-14,g
victoria-yellow,2011-07-21,g
victoria-yellow,2011-07-28,g
victoria-yellow,2011-08-05,g
victoria-yellow,2011-08-12,g
victoria-yellow,2011-08-19,g
victoria-yellow,2011-08-26,g
victoria-yellow,2011-09-02,g
victoria-yellow,2011-09-12,2g
victoria-yellow,2011-09-19,g
victoria-yellow,2011-09-26,g
victoria-yellow,2011-10-03,g
victoria-yellow,2011-10-11,g
victoria-yellow,2011-10-18,g
victoria-yellow,2011-10-25,g
victoria-yellow,2011-11-01,g
victoria-yellow,2011-11-08,g
victoria-yellow,2011-11-16,g
victoria-yellow,2011-11-23,g
victoria-yellow,2011-11-30,g
victoria-yellow,2011-12-07,gf
victoria-yellow,2011-12-14,g
victoria-yellow,2011-12-21,g
victoria-yellow,2011-12-30,g
